X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.181161918	0.0520881293	3.34311013e-06		3809.63025	
0.015	0.212346916	0.0520881293	4.4531394e-06		3598.28292	
0.015	0.181161918	0.0729214626	3.34311013e-06		3679.36811	
0.015	0.212346916	0.0729214626	4.4531394e-06		3431.85007	
0.015	0.253886422	0.0104190652	5.93310298e-06		3608.82331	
0.015	0.309209906	0.0104190652	7.90095261e-06		2299.695	
0.015	0.253886422	0.0312547965	5.93173684e-06		3263.76738	
0.015	0.309209906	0.0312547965	7.89913334e-06		1872.02348	
0.015	0.253886422	0.0520881293	5.93173715e-06		2986.35866	
0.015	0.309209906	0.0520881293	7.89913376e-06		1641.54103	
0.015	0.253886422	0.0729214626	5.93173715e-06		2665.30265	
0.015	0.309209906	0.0729214626	7.89913376e-06		1462.39593	
0.015	0.140175287	0.0937547959	1.88399418e-06		3749.82952	
0.015	0.157750371	0.0937547959	2.50977671e-06		3685.4246	
0.015	0.140175287	0.114588129	1.88399418e-06		3713.71973	
0.015	0.157750371	0.114588129	2.50977671e-06		3618.75868	
0.015	0.181161918	0.0937547959	3.34311013e-06		3547.65597	
0.015	0.212346916	0.0937547959	4.4531394e-06		3249.34747	
0.015	0.181161918	0.114588129	3.34311013e-06		3451.03089	
0.015	0.212346916	0.114588129	4.4531394e-06		3071.33805	
0.015	0.140175287	0.135421463	1.88399418e-06		3703.3395	
0.015	0.157750371	0.135421463	2.50977671e-06		3555.57999	
0.015	0.140175287	0.156254796	1.88399418e-06		3555.6131	
0.015	0.157750371	0.156254796	2.50977671e-06		3395.58871	
0.015	0.181161918	0.135421463	3.34311013e-06		3335.15282	
0.015	0.212346916	0.135421463	4.4531394e-06		2815.67634	
0.015	0.181161918	0.156254796	3.34311013e-06		3181.13065	
0.015	0.212346916	0.156254796	4.4531394e-06		2437.14977	
0.015	0.253886422	0.0937547959	5.93173715e-06		2301.90024	
0.015	0.309209906	0.0937547959	7.89913376e-06		1344.86651	
0.015	0.253886422	0.114588129	5.93173715e-06		1956.7712	
0.015	0.309209906	0.114588129	7.89913376e-06		1268.91162	
0.015	0.253886422	0.135421463	5.93173715e-06		1651.87275	
0.015	0.309209906	0.135421463	7.89913376e-06		1221.44957	
0.015	0.253886422	0.156254796	5.93173715e-06		1427.75897	
0.015	0.309209906	0.156254796	7.89913376e-06		1195.26127	
0.015	0.0669899038	0.249997536	3.81340636e-13		3323.52139	
0.015	0.0930720679	0.177817272	1.6614449e-06		4255.22827	
0.015	0.0816526183	0.201803205	3.08956541e-07		4378.04652	
0.015	0.0916143813	0.197927385	2.05027271e-06		3600.39262	
0.015	0.108021478	0.177088129	2.051486e-06		3802.49306	
0.015	0.124433366	0.177088129	2.051486e-06		3534.14695	
0.015	0.108021478	0.197921463	2.051486e-06		3354.43998	
0.015	0.124433366	0.197921463	2.051486e-06		3310.2903	
0.015	0.0792201269	0.219959568	1.0055276e-06		3319.92478	
0.015	0.0916095902	0.218754796	2.05148601e-06		3322.34572	
0.015	0.0764951149	0.240299348	1.70331158e-06		3323.52139	
0.015	0.0916095902	0.239588129	2.05148601e-06		3321.91055	
0.015	0.108021478	0.218754796	2.051486e-06		3315.80104	
0.015	0.124433366	0.218754796	2.051486e-06		3289.95418	
0.015	0.108021478	0.239588129	2.051486e-06		3302.77681	
0.015	0.124433366	0.239588129	2.051486e-06		3257.9486	
0.015	0.065088175	0.264192232	3.6517005e-07		3332.1418	
0.015	0.0625516851	0.283124851	1.09401177e-06		3333.18659	
0.015	0.0501201927	0.313414773	1.57022661e-09		3263.11264	
0.015	0.0597707433	0.303935967	1.82128327e-06		3327.16973	
0.015	0.0482112322	0.327663449	4.12263242e-07		3354.86943	
0.015	0.0586184369	0.324526611	2.13943197e-06		3333.04287	
0.015	0.0751977476	0.260650807	2.0966421e-06		3325.48194	
0.015	0.0916095902	0.260650807	2.09665374e-06		3318.77784	
0.015	0.0751977476	0.281942777	2.0966317e-06		3321.53998	
