X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.309209906	0.197921463	7.89913376e-06		2749.41929	
0.015	0.253886422	0.218754796	5.93173715e-06		2776.19206	
0.015	0.309209906	0.218754796	7.89913376e-06		2749.31703	
0.015	0.253886422	0.239588129	5.93173715e-06		2765.5351	
0.015	0.309209906	0.239588129	7.89913376e-06		2747.73013	
0.015	0.140175287	0.260650807	1.92547422e-06		2755.32672	
0.015	0.157750371	0.260650807	2.56503466e-06		2756.65336	
0.015	0.140175287	0.281942777	1.92546467e-06		2736.9851	
0.015	0.157750371	0.281942777	2.56502193e-06		2740.87991	
0.015	0.181161918	0.260650807	3.41671565e-06		2755.95497	
0.015	0.212346916	0.260650807	4.55118452e-06		2754.92475	
0.015	0.181161918	0.281942777	3.4166987e-06		2745.01123	
0.015	0.212346916	0.281942777	4.55116195e-06		2752.11918	
0.015	0.140175287	0.303234694	1.92546468e-06		2724.35517	
0.015	0.157750371	0.303234694	2.56502194e-06		2732.10659	
0.015	0.140175287	0.324526611	1.92546468e-06		2686.79693	
0.015	0.157750371	0.324526611	2.56502194e-06		2706.12013	
0.015	0.181161918	0.303234694	3.4166987e-06		2744.04833	
0.015	0.212346916	0.303234694	4.55116195e-06		2755.22515	
0.015	0.181161918	0.324526611	3.4166987e-06		2729.55316	
0.015	0.212346916	0.324526611	4.55116195e-06		2749.67564	
0.015	0.253886422	0.260650807	6.06233667e-06		2759.59981	
0.015	0.309209906	0.260650807	8.07304961e-06		2748.2062	
0.015	0.253886422	0.281942777	6.0623066e-06		2763.44106	
0.015	0.309209906	0.281942777	8.07300956e-06		2751.53139	
0.015	0.253886422	0.303234694	6.06230661e-06		2770.29748	
0.015	0.309209906	0.303234694	8.07300957e-06		2757.87983	
0.015	0.253886422	0.324526611	6.06230661e-06		2772.04027	
0.015	0.309209906	0.324526611	8.07300957e-06		2761.4	
0.015	0.0332504911	0.37683194	6.18293623e-09		2389.438	
0.015	0.0456270807	0.346951818	1.14110497e-06		2506.68768	
0.015	0.0586184369	0.345818527	2.13943197e-06		2501.81889	
0.015	0.0428654755	0.36777206	1.86376375e-06		2465.49205	
0.015	0.0586184369	0.367110444	2.13943197e-06		2470.12863	
0.015	0.0313231767	0.391217611	4.59356439e-07		2467.39862	
0.015	0.0287019583	0.410782651	1.18819816e-06		2513.22064	
0.015	0.0418716123	0.388402361	2.13943197e-06		2466.42297	
0.015	0.0586184369	0.388402361	2.13943197e-06		2465.47471	
0.015	0.0418716123	0.409694278	2.13943197e-06		2500.58536	
0.015	0.0586184369	0.409694278	2.13943197e-06		2488.22771	
0.015	0.0751977476	0.345818527	2.0966317e-06		2503.66834	
0.015	0.0916095902	0.345818527	2.09664334e-06		2507.7834	
0.015	0.0751977476	0.367110444	2.0966317e-06		2468.09831	
0.015	0.0916095902	0.367110444	2.09664334e-06		2461.22618	
0.015	0.108021478	0.345818527	2.09664333e-06		2520.73249	
0.015	0.124433366	0.345818527	2.09664333e-06		2543.94629	
0.015	0.108021478	0.367110444	2.09664333e-06		2461.1355	
0.015	0.124433366	0.367110444	2.09664333e-06		2464.50525	
0.015	0.0751977476	0.388402361	2.0966317e-06		2462.7054	
0.015	0.0916095902	0.388402361	2.09664334e-06		2454.53384	
0.015	0.0751977476	0.409694278	2.0966317e-06		2479.51896	
0.015	0.0916095902	0.409694278	2.09664334e-06		2463.72826	
0.015	0.108021478	0.388402361	2.09664333e-06		2451.38013	
0.015	0.124433366	0.388402361	2.09664333e-06		2447.29275	
0.015	0.108021478	0.409694278	2.09664333e-06		2455.58116	
0.015	0.124433366	0.409694278	2.09664333e-06		2448.99341	
0.015	0.0163807903	0.440249106	1.38385447e-08		2535.18521	
0.015	0.0259740707	0.431598331	1.90320134e-06		2567.44041	
0.015	0.0144271093	0.454831579	5.06449794e-07		2636.92847	
0.015	0.0251247884	0.452278112	2.13943182e-06		2620.91077	
0.015	0.0418716123	0.430986195	2.13943197e-06		2550.36023	
0.015	0.0586184369	0.430986195	2.13943197e-06		2527.1221	
0.015	0.0418716123	0.452278112	2.13943197e-06		2594.41698	
0.015	0.0586184369	0.452278112	2.13943197e-06		2567.95942	
0.015	0.0117763777	0.47461691	1.23529152e-06		2795.73258	
0.015	0.0251247884	0.473570029	2.13943182e-06		2733.02296	
0.015	0.00909487535	0.495417874	1.93974691e-06		2857.09083	
0.015	0.0251247884	0.494861945	2.13943182e-06		2478.86165	
0.015	0.0418716123	0.473570029	2.13943197e-06		2676.55773	
0.015	0.0586184369	0.473570029	2.13943197e-06		2631.91207	
0.015	0.0418716123	0.494861945	2.13943197e-06		2130.21044	
0.015	0.0586184369	0.494861945	2.13943197e-06		1784.16743	
0.015	0.0751977476	0.430986195	2.0966317e-06		2508.34246	
0.015	0.0916095902	0.430986195	2.09664334e-06		2481.99867	
0.015	0.0751977476	0.452278112	2.0966317e-06		2547.79984	
0.015	0.0916095902	0.452278112	2.09664334e-06		2512.49278	
0.015	0.108021478	0.430986195	2.09664333e-06		2463.95828	
0.015	0.124433366	0.430986195	2.09664333e-06		2450.19031	
0.015	0.108021478	0.452278112	2.09664333e-06		2485.78175	
0.015	0.124433366	0.452278112	2.09664333e-06		2446.71589	
0.015	0.0751977476	0.473570029	2.0966317e-06		2559.85211	
0.015	0.0916095902	0.473570029	2.09664334e-06		2298.35852	
