X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0500942945	0.0717222549	1.85931852e-07		1436.49972	
0.015	0.0584389342	0.0717222549	2.24460267e-07		1437.0851	
0.015	0.0374562043	0.0758206156	1.27579952e-07		1434.86323	
0.015	0.0431820051	0.0758206156	1.54016806e-07		1435.53655	
0.015	0.0374562043	0.0799189763	1.27579952e-07		1434.71936	
0.015	0.0431820051	0.0799189763	1.54016806e-07		1435.65856	
0.015	0.0500942945	0.0758206156	1.85931852e-07		1436.88778	
0.015	0.0584389342	0.0758206156	2.24460267e-07		1437.78757	
0.015	0.0500942945	0.0799189763	1.85931852e-07		1437.23962	
0.015	0.0584389342	0.0799189763	2.24460267e-07		1438.28198	
0.015	0.022834178	0.0840173369	6.00631711e-08		1437.65775	
0.015	0.0255299258	0.0840173369	7.25145904e-08		1436.98334	
0.015	0.022834178	0.0881156976	6.00631711e-08		1437.19732	
0.015	0.0255299258	0.0881156976	7.25145904e-08		1435.68765	
0.015	0.0287843877	0.0840173369	8.7540913e-08		1435.14772	
0.015	0.0327132324	0.0840173369	1.05680961e-07		1434.25359	
0.015	0.0287843877	0.0881156976	8.7540913e-08		1433.76584	
0.015	0.0327132324	0.0881156976	1.05680961e-07		1433.84054	
0.015	0.022834178	0.0922140582	6.00631711e-08		1436.38894	
0.015	0.0255299258	0.0922140582	7.25145904e-08		1434.31454	
0.015	0.022834178	0.0963124189	6.00631711e-08		1435.27894	
0.015	0.0255299258	0.0963124189	7.25145904e-08		1433.11176	
0.015	0.0287843877	0.0922140582	8.7540913e-08		1432.92096	
0.015	0.0327132324	0.0922140582	1.05680961e-07		1433.71573	
0.015	0.0287843877	0.0963124189	8.7540913e-08		1432.5332	
0.015	0.0327132324	0.0963124189	1.05680961e-07		1433.93502	
0.015	0.0374562043	0.0840173369	1.27579952e-07		1434.75423	
0.015	0.0431820051	0.0840173369	1.54016806e-07		1436.06683	
0.015	0.0374562043	0.0881156976	1.27579952e-07		1435.22295	
0.015	0.0431820051	0.0881156976	1.54016806e-07		1436.48396	
0.015	0.0500942945	0.0840173369	1.85931852e-07		1437.32605	
0.015	0.0584389342	0.0840173369	2.24460267e-07		1438.3672	
0.015	0.0500942945	0.0881156976	1.85931852e-07		1437.35371	
0.015	0.0584389342	0.0881156976	2.24460267e-07		1438.32209	
0.015	0.0374562043	0.0922140582	1.27579952e-07		1435.70122	
0.015	0.0431820051	0.0922140582	1.54016806e-07		1436.72031	
0.015	0.0374562043	0.0963124189	1.27579952e-07		1435.95782	
0.015	0.0431820051	0.0963124189	1.54016806e-07		1436.79634	
0.015	0.0500942945	0.0922140582	1.85931852e-07		1437.20802	
0.015	0.0584389342	0.0922140582	2.24460267e-07		1437.90662	
0.015	0.0500942945	0.0963124189	1.85931852e-07		1436.89182	
0.015	0.0584389342	0.0963124189	2.24460267e-07		1437.19873	
0.015	0.0181916574	0.100451734	3.66938995e-08		1439.95372	
0.015	0.0202757771	0.10041078	6.57598218e-08		1435.42847	
0.015	0.018102284	0.104545709	4.10940214e-08		1439.47461	
0.015	0.0202757771	0.10450914	6.57598218e-08		1434.30885	
0.015	0.018012892	0.108640533	4.54941433e-08		1438.47095	
0.015	0.0202757771	0.108607501	6.57598218e-08		1432.92044	
0.015	0.0179234865	0.112735981	4.98942652e-08		1436.58564	
0.015	0.0202757771	0.112705861	6.57598218e-08		1431.37498	
0.015	0.0178340706	0.1168319	5.42943871e-08		1434.36718	
0.015	0.0202757771	0.116804222	6.57598218e-08		1430.45026	
0.015	0.0177446468	0.120928186	5.8694509e-08		1432.4756	
0.015	0.0202757771	0.120902583	6.57598218e-08		1430.23247	
0.015	0.016211087	0.129926775	1.75951507e-09		1415.66862	
0.015	0.0176552166	0.125024761	6.30946309e-08		1430.81311	
0.015	0.0202757771	0.125000943	6.57598218e-08		1430.2777	
0.015	0.017602042	0.129100016	6.57352377e-08		1429.61755	
0.015	0.0202757771	0.129099304	6.57598218e-08		1432.5794	
0.015	0.022834178	0.10041078	6.00631711e-08		1433.7228	
0.015	0.0255299258	0.10041078	7.25145904e-08		1432.19684	
0.015	0.022834178	0.10450914	6.00631711e-08		1432.03419	
0.015	0.0255299258	0.10450914	7.25145904e-08		1431.58071	
0.015	0.0287843877	0.10041078	8.7540913e-08		1432.4172	
0.015	0.0327132324	0.10041078	1.05680961e-07		1434.47907	
0.015	0.0287843877	0.10450914	8.7540913e-08		1432.54188	
0.015	0.0327132324	0.10450914	1.05680961e-07		1434.86661	
0.015	0.022834178	0.108607501	6.00631711e-08		1430.8285	
0.015	0.0255299258	0.108607501	7.25145904e-08		1431.25938	
0.015	0.022834178	0.112705861	6.00631711e-08		1430.32297	
0.015	0.0255299258	0.112705861	7.25145904e-08		1431.28161	
0.015	0.0287843877	0.108607501	8.7540913e-08		1433.30814	
0.015	0.0327132324	0.108607501	1.05680961e-07		1435.13207	
0.015	0.0287843877	0.112705861	8.7540913e-08		1434.27265	
0.015	0.0327132324	0.112705861	1.05680961e-07		1435.19	
0.015	0.0374562043	0.10041078	1.27579952e-07		1436.07682	
0.015	0.0431820051	0.10041078	1.54016806e-07		1436.79488	
0.015	0.0374562043	0.10450914	1.27579952e-07		1436.09918	
0.015	0.0431820051	0.10450914	1.54016806e-07		1436.69974	
0.015	0.0500942945	0.10041078	1.85931852e-07		1436.81756	
0.015	0.0584389342	0.10041078	2.24460267e-07		1437.02546	
0.015	0.0500942945	0.10450914	1.85931852e-07		1436.82337	
0.015	0.0584389342	0.10450914	2.24460267e-07		1437.03477	
0.015	0.0374562043	0.108607501	1.27579952e-07		1436.02235	
0.015	0.0431820051	0.108607501	1.54016806e-07		1436.42254	
0.015	0.0374562043	0.112705861	1.27579952e-07		1435.51417	
0.015	0.0431820051	0.112705861	1.54016806e-07		1435.89754	
0.015	0.0500942945	0.108607501	1.85931852e-07		1436.9901	
0.015	0.0584389342	0.108607501	2.24460267e-07		1437.26962	
0.015	0.0500942945	0.112705861	1.85931852e-07		1437.13524	
0.015	0.0584389342	0.112705861	2.24460267e-07		1438.10726	
0.015	0.022834178	0.116804222	6.00631711e-08		1430.23731	
0.015	0.0255299258	0.116804222	7.25145904e-08		1432.3442	
0.015	0.022834178	0.120902583	6.00631711e-08		1430.84363	
0.015	0.0255299258	0.120902583	7.25145904e-08		1433.51018	
0.015	0.0287843877	0.116804222	8.7540913e-08		1434.86019	
0.015	0.0327132324	0.116804222	1.05680961e-07		1434.98205	
0.015	0.0287843877	0.120902583	8.7540913e-08		1434.94171	
0.015	0.0327132324	0.120902583	1.05680961e-07		1434.49266	
0.015	0.022834178	0.125000943	6.00631711e-08		1432.6178	
0.015	0.0255299258	0.125000943	7.25145904e-08		1434.17154	
0.015	0.022834178	0.129099304	6.00631711e-08		1434.10043	
0.015	0.0255299258	0.129099304	7.25145904e-08		1434.2797	
0.015	0.0287843877	0.125000943	8.7540913e-08		1434.56735	
0.015	0.0327132324	0.125000943	1.05680961e-07		1433.92379	
0.015	0.0287843877	0.129099304	8.7540913e-08		1433.72899	
0.015	0.0327132324	0.129099304	1.05680961e-07		1433.27519	
0.015	0.0374562043	0.116804222	1.27579952e-07		1434.71012	
0.015	0.0431820051	0.116804222	1.54016806e-07		1435.31584	
0.015	0.0374562043	0.120902583	1.27579952e-07		1434.33891	
0.015	0.0431820051	0.120902583	1.54016806e-07		1435.1732	
0.015	0.0500942945	0.116804222	1.85931852e-07		1437.19237	
0.015	0.0584389342	0.116804222	2.24460267e-07		1438.68282	
0.015	0.0500942945	0.120902583	1.85931852e-07		1437.16057	
0.015	0.0584389342	0.120902583	2.24460267e-07		1438.87325	
0.015	0.0374562043	0.125000943	1.27579952e-07		1434.14025	
0.015	0.0431820051	0.125000943	1.54016806e-07		1435.16601	
0.015	0.0374562043	0.129099304	1.27579952e-07		1434.04042	
0.015	0.0431820051	0.129099304	1.54016806e-07		1435.26962	
0.015	0.0500942945	0.125000943	1.85931852e-07		1436.89642	
0.015	0.0584389342	0.125000943	2.24460267e-07		1438.8677	
0.015	0.0500942945	0.129099304	1.85931852e-07		1436.81579	
0.015	0.0584389342	0.129099304	2.24460267e-07		1438.43523	
