X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0573887318	0.033089928	3.12669976e-07		1786.75733	
0.015	0.0652650058	0.033089928	3.82295374e-07		1748.44792	
0.015	0.0573887318	0.0404428692	3.12669976e-07		1766.07117	
0.015	0.0652650058	0.0404428692	3.82295374e-07		1738.30735	
0.015	0.0748951696	0.033089928	4.67424967e-07		1735.50114	
0.015	0.0866697799	0.033089928	5.71511231e-07		1729.13258	
0.015	0.0748951696	0.0404428692	4.67424967e-07		1730.7446	
0.015	0.0866697799	0.0404428692	5.71511231e-07		1726.69329	
0.015	0.0573887318	0.0477958103	3.12669976e-07		1747.30131	
0.015	0.0652650058	0.0477958103	3.82295374e-07		1731.53482	
0.015	0.0573887318	0.0551487515	3.12669976e-07		1734.31224	
0.015	0.0652650058	0.0551487515	3.82295374e-07		1727.08722	
0.015	0.0748951696	0.0477958103	4.67424967e-07		1726.03883	
0.015	0.0866697799	0.0477958103	5.71511231e-07		1723.17846	
0.015	0.0748951696	0.0551487515	4.67424967e-07		1722.82347	
0.015	0.0866697799	0.0551487515	5.71511231e-07		1720.10739	
0.015	0.0345210092	0.107859435	1.40218065e-08		1729.83525	
0.015	0.0342356661	0.114382407	4.24021407e-08		1726.68252	
0.015	0.0386254795	0.0630308147	3.28661791e-08		1874.4635	
0.015	0.0411645812	0.0625016927	1.89129905e-07		1839.49027	
0.015	0.0383145555	0.0701385696	6.12470172e-08		2026.623	
0.015	0.0411645812	0.0698546339	1.89129905e-07		1794.10933	
0.015	0.0456783785	0.0625016927	2.09146333e-07		1755.58469	
0.015	0.0509469212	0.0625016927	2.55725078e-07		1731.09739	
0.015	0.0456783785	0.0698546339	2.09146333e-07		1730.44345	
0.015	0.0509469212	0.0698546339	2.55725078e-07		1724.7023	
0.015	0.037996839	0.077401602	8.96278553e-08		1727.10904	
0.015	0.0411645812	0.077207575	1.89129905e-07		1728.35234	
