X [m],Y [m],Z [m],Volume [m^3],Pressure [Pa]
0.015,0.186902599,0.0520881293,3.97460935e-06,2906.57498
0.015,0.225291437,0.0520881293,5.62260019e-06,2923.37009
0.015,0.186902599,0.0729214626,3.97460935e-06,2879.20316
0.015,0.225291437,0.0729214626,5.62260019e-06,2870.75164
0.015,0.27958878,0.0104190652,7.95356634e-06,3029.62791
0.015,0.27958878,0.0312547965,7.95173496e-06,2967.8036
0.015,0.27958878,0.0520881293,7.95173538e-06,2885.73754
0.015,0.27958878,0.0729214626,7.95173538e-06,2818.43022
0.015,0.140583149,0.0937547959,1.98595981e-06,2879.20729
0.015,0.159765575,0.0937547959,2.80964664e-06,2829.69256
0.015,0.140583149,0.114588129,1.98595981e-06,2787.09898
0.015,0.159765575,0.114588129,2.80964664e-06,2754.25204
0.015,0.186902599,0.0937547959,3.97460935e-06,2794.21571
0.015,0.225291437,0.0937547959,5.62260019e-06,2785.85511
0.015,0.186902599,0.114588129,3.97460935e-06,2728.12992
0.015,0.225291437,0.114588129,5.62260019e-06,2717.6061
0.015,0.140583149,0.135421463,1.98595981e-06,2734.81285
0.015,0.159765575,0.135421463,2.80964664e-06,2700.64009
0.015,0.140583149,0.156254796,1.98595981e-06,2661.04132
0.015,0.159765575,0.156254796,2.80964664e-06,2628.05398
0.015,0.186902599,0.135421463,3.97460935e-06,2667.89354
0.015,0.225291437,0.135421463,5.62260019e-06,2649.20784
0.015,0.186902599,0.156254796,3.97460935e-06,2603.73475
0.015,0.225291437,0.156254796,5.62260019e-06,2590.61084
0.015,0.27958878,0.0937547959,7.95173538e-06,2734.65593
0.015,0.27958878,0.114588129,7.95173538e-06,2650.78866
0.015,0.27958878,0.135421463,7.95173538e-06,2546.31345
0.015,0.27958878,0.156254796,7.95173538e-06,2428.40385
0.015,0.0669899038,0.249997536,3.81340636e-13,2564.37751
0.015,0.0930720679,0.177817272,1.6614449e-06,2934.38929
0.015,0.0816526183,0.201803205,3.08956541e-07,2603.58942
0.015,0.0916143813,0.197927385,2.05027271e-06,2601.23863
0.015,0.108021478,0.177088129,2.051486e-06,2717.23731
0.015,0.124433366,0.177088129,2.051486e-06,2642.6658
0.015,0.108021478,0.197921463,2.051486e-06,2582.83483
0.015,0.124433366,0.197921463,2.051486e-06,2575.07813
0.015,0.0792201269,0.219959568,1.0055276e-06,2558.94442
0.015,0.0916095902,0.218754796,2.05148601e-06,2558.72484
0.015,0.0764951149,0.240299348,1.70331158e-06,2564.37751
0.015,0.0916095902,0.239588129,2.05148601e-06,2562.55244
0.015,0.108021478,0.218754796,2.051486e-06,2560.01068
0.015,0.124433366,0.218754796,2.051486e-06,2563.33754
0.015,0.108021478,0.239588129,2.051486e-06,2562.12405
0.015,0.124433366,0.239588129,2.051486e-06,2564.48096
0.015,0.065088175,0.264192232,3.6517005e-07,2575.71343
0.015,0.0625516851,0.283124851,1.09401177e-06,2581.55311
0.015,0.0501201927,0.313414773,1.57022661e-09,2486.69214
0.015,0.0597707433,0.303935967,1.82128327e-06,2566.55493
0.015,0.0482112322,0.327663449,4.12263242e-07,2581.37522
0.015,0.0586184369,0.324526611,2.13943197e-06,2581.50061
0.015,0.0751977476,0.260650807,2.0966421e-06,2571.46084
0.015,0.0916095902,0.260650807,2.09665374e-06,2567.86591
0.015,0.0751977476,0.281942777,2.0966317e-06,2574.68604
0.015,0.0916095902,0.281942777,2.09664333e-06,2572.02219
0.015,0.108021478,0.260650807,2.09665373e-06,2563.9386
0.015,0.124433366,0.260650807,2.09665373e-06,2564.17316
0.015,0.108021478,0.281942777,2.09664333e-06,2568.51604
0.015,0.124433366,0.281942777,2.09664333e-06,2564.33706
0.015,0.0751977476,0.303234694,2.0966317e-06,2579.73407
0.015,0.0916095902,0.303234694,2.09664334e-06,2577.58017
0.015,0.0751977476,0.324526611,2.0966317e-06,2583.55183
0.015,0.0916095902,0.324526611,2.09664334e-06,2581.12537
0.015,0.108021478,0.303234694,2.09664333e-06,2572.34065
0.015,0.124433366,0.303234694,2.09664333e-06,2563.57798
0.015,0.108021478,0.324526611,2.09664333e-06,2572.77896
0.015,0.124433366,0.324526611,2.09664333e-06,2551.42529
